wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info
154.58,17.7,30.3,9.8,8.7,2022-03-11T00:00:00-07:00,15.2,,10.8,4.5,1646956800000,0.0,324.8,Mist,1.18,1025.0,,6.8,62.8,0.0,,Clear,-7.7,
234.5,40.7,58.9,9.9,12.9,2022-03-12T00:00:00-07:00,15.7,,13.0,18.4,1647043200000,0.0,334.9,,,1017.7,,13.8,36.85,0.0,31.1,Clear,10.0,
205.43,47.4,62.9,9.9,22.0,2022-03-13T00:00:00-07:00,16.8,,31.8,30.9,1647129600000,0.0,333.7,,,1006.5,,15.8,32.15,0.0,34.4,Partially cloudy,24.3,
279.88,41.8,52.8,9.9,23.0,2022-03-14T00:00:00-06:00,16.6,,32.2,33.1,1647216000000,0.0,329.7,Light Snow,,1016.2,,17.6,41.96,4.17,40.3,Partially cloudy,23.5,
141.83,46.7,66.1,9.9,14.8,2022-03-15T00:00:00-06:00,17.4,,12.3,27.0,1647302400000,0.0,344.9,,,1017.2,,13.5,32.01,0.0,28.0,Clear,19.6,
178.25,47.8,53.5,9.8,15.1,2022-03-16T00:00:00-06:00,10.1,,70.7,39.5,1647388800000,0.05,200.2,Light Rain,,1007.8,,20.5,36.65,8.33,32.2,"Rain, Partially cloudy",34.5,
316.54,32.5,37.4,6.4,23.9,2022-03-17T00:00:00-06:00,3.4,,93.7,28.2,1647475200000,0.23,73.3,"Light Snow, Mist, Light Rain And Snow, Light Rain",1.97,1016.0,,26.6,79.1,50.0,36.6,"Rain, Overcast",17.6,
194.63,34.9,48.5,9.9,8.7,2022-03-18T00:00:00-06:00,17.2,,33.4,22.9,1647561600000,0.0,341.1,,,1018.8,,13.9,46.07,0.0,,Partially cloudy,14.7,
143.79,42.4,56.6,9.9,17.3,2022-03-19T00:00:00-06:00,16.4,,27.3,29.4,1647648000000,0.0,325.9,,,1016.3,,13.6,33.41,0.0,24.2,Partially cloudy,22.5,
140.04,48.6,61.6,9.9,19.7,2022-03-20T00:00:00-06:00,13.1,,43.9,36.0,1647734400000,0.0,260.9,,,1005.4,,12.6,25.42,0.0,33.3,Partially cloudy,32.4,
330.13,35.7,46.2,9.1,30.7,2022-03-21T00:00:00-06:00,5.9,,89.6,30.3,1647820800000,0.0,126.2,Light Snow,,1009.9,,20.9,56.41,4.17,44.7,Overcast,16.6,
333.79,32.2,39.5,9.4,34.4,2022-03-22T00:00:00-06:00,9.7,,77.5,26.4,1647907200000,0.0,192.6,"Light Snow, Precipitation In Vicinity",,1019.5,,15.4,50.13,0.0,49.2,Overcast,11.9,
329.13,38.8,50.0,9.9,40.2,2022-03-23T00:00:00-06:00,18.8,,22.2,27.3,1647993600000,0.0,373.9,,,1017.3,,8.2,31.15,0.0,59.0,Clear,17.4,
262.79,48.2,63.1,9.9,25.8,2022-03-24T00:00:00-06:00,15.6,,15.1,31.3,1648080000000,0.0,309.0,,,1013.5,,13.7,26.63,0.0,35.9,Clear,27.5,
208.04,46.5,53.9,9.9,18.8,2022-03-25T00:00:00-06:00,18.4,,13.1,37.8,1648166400000,0.0,366.0,,,1017.8,,25.1,44.53,0.0,29.9,Clear,29.9,
240.83,57.6,75.5,9.9,21.4,2022-03-26T00:00:00-06:00,14.6,,47.9,36.9,1648252800000,0.0,290.1,,,1011.6,,19.3,27.58,0.0,35.6,Partially cloudy,31.0,
142.38,51.6,61.1,9.9,11.7,2022-03-27T00:00:00-06:00,12.0,,63.3,39.9,1648339200000,0.0,238.4,,,1008.9,,26.3,38.76,0.0,20.8,Partially cloudy,38.9,
156.88,58.5,74.4,9.9,16.6,2022-03-28T00:00:00-06:00,15.7,,58.2,40.6,1648425600000,0.0,312.3,,,1003.2,,15.4,25.08,0.0,32.2,Partially cloudy,36.7,
236.88,47.7,56.1,9.2,21.6,2022-03-29T00:00:00-06:00,5.2,,82.2,35.4,1648512000000,0.13,104.0,"Lightning Without Thunder, Light Snow, Precipitation In Vicinity, Light Rain And Snow, Rain Showers, Light Rain",,994.9,,28.7,52.94,29.17,47.2,"Rain, Overcast",24.9,
295.42,34.2,43.1,8.9,22.1,2022-03-30T00:00:00-06:00,9.4,,73.9,28.4,1648598400000,0.07,187.2,"Ice, Light Snow, Precipitation In Vicinity",,1008.0,,23.6,65.69,25.0,34.5,"Rain, Partially cloudy",16.8,
188.75,43.9,57.8,9.9,18.6,2022-03-31T00:00:00-06:00,19.4,,31.9,28.1,1648684800000,0.0,384.9,Precipitation In Vicinity,,1009.6,,14.7,35.17,0.0,26.7,Partially cloudy,21.1,
230.29,45.6,55.8,9.9,18.6,2022-04-01T00:00:00-06:00,17.7,,50.9,36.6,1648771200000,0.0,350.3,,,1009.1,,22.4,40.33,0.0,28.9,Partially cloudy,31.2,
189.08,49.4,68.2,9.9,22.3,2022-04-02T00:00:00-06:00,19.9,,24.4,29.2,1648857600000,0.0,394.2,,,1013.7,,20.5,37.5,0.0,34.6,Clear,22.0,
299.0,47.2,54.5,9.9,20.7,2022-04-03T00:00:00-06:00,7.0,,71.9,40.7,1648944000000,0.02,138.5,"Rain, Rain Showers, Heavy Rain, Light Rain",,1012.0,,26.9,47.11,16.67,34.9,"Rain, Partially cloudy",33.8,
153.21,47.5,62.4,9.8,18.1,2022-04-04T00:00:00-06:00,12.7,,80.3,36.4,1649030400000,0.0,251.4,,,1008.0,,28.9,57.7,0.0,37.9,Overcast,30.7,
151.54,55.3,66.7,9.9,33.1,2022-04-05T00:00:00-06:00,19.9,,40.5,36.1,1649116800000,0.01,395.4,,,996.6,,19.7,25.53,4.17,51.6,"Rain, Partially cloudy",28.7,
305.21,37.7,47.3,9.9,29.8,2022-04-06T00:00:00-06:00,22.1,,18.1,29.9,1649203200000,0.0,438.6,,,1017.4,,-3.3,19.74,0.0,44.5,Clear,18.7,
243.46,39.1,52.3,9.9,26.5,2022-04-07T00:00:00-06:00,21.6,,8.9,25.1,1649289600000,0.0,428.4,,,1025.8,,4.8,24.76,0.0,37.7,Clear,16.8,
206.08,45.6,62.7,9.9,11.8,2022-04-08T00:00:00-06:00,22.0,,2.9,26.2,1649376000000,0.0,436.1,,,1021.4,,7.7,23.46,0.0,30.0,Clear,19.3,
171.29,60.0,77.4,9.9,16.8,2022-04-09T00:00:00-06:00,17.9,,43.7,41.4,1649462400000,0.0,354.9,,,1003.2,,7.5,14.42,0.0,34.0,Partially cloudy,37.6,
235.96,50.2,63.3,9.9,30.4,2022-04-10T00:00:00-06:00,22.5,,49.5,38.6,1649548800000,0.0,445.9,Squalls,,999.0,,11.4,31.71,0.0,43.4,Partially cloudy,31.5,
153.5,48.3,65.2,9.9,25.5,2022-04-11T00:00:00-06:00,21.9,,39.7,30.0,1649635200000,0.0,435.5,,,1000.7,,10.4,22.11,0.0,37.9,Partially cloudy,21.6,
209.21,52.6,60.2,9.7,35.7,2022-04-12T00:00:00-06:00,16.7,,54.5,33.1,1649721600000,0.01,331.1,,,990.2,,18.6,27.05,8.33,50.5,"Rain, Partially cloudy",23.7,
150.33,33.1,42.6,9.9,26.4,2022-04-13T00:00:00-06:00,15.3,,64.5,25.4,1649808000000,0.0,283.5,,,1009.8,,2.5,30.64,0.0,41.8,Partially cloudy,17.3,
182.17,42.2,60.8,9.9,21.2,2022-04-14T00:00:00-06:00,22.9,,29.6,23.4,1649894400000,0.0,455.0,,,1012.4,,1.5,20.94,0.0,36.4,Partially cloudy,16.1,
203.88,52.3,69.4,9.9,26.8,2022-04-15T00:00:00-06:00,23.2,,37.4,36.0,1649980800000,0.0,428.9,,,1006.0,,9.1,19.09,0.0,39.5,Partially cloudy,33.1,
142.46,39.9,51.9,9.9,25.3,2022-04-16T00:00:00-06:00,21.1,,34.0,27.0,1650067200000,0.0,389.9,,,1015.0,,16.1,39.06,0.0,34.5,Partially cloudy,16.9,
164.67,51.5,70.5,9.9,21.2,2022-04-17T00:00:00-06:00,22.9,,21.9,31.3,1650153600000,0.0,423.3,,,1013.2,,18.6,32.37,0.0,47.2,Clear,24.0,
115.75,43.1,54.7,9.9,22.1,2022-04-18T00:00:00-06:00,22.7,,9.4,30.5,1650240000000,0.0,420.3,,,1020.2,,22.0,44.32,0.0,32.6,Clear,21.5,
169.96,57.4,80.7,9.9,21.7,2022-04-19T00:00:00-06:00,19.7,78.6,43.7,33.4,1650326400000,0.0,364.4,,,1003.8,,19.9,34.77,0.0,36.3,Partially cloudy,27.8,
187.75,61.3,71.8,9.9,22.9,2022-04-20T00:00:00-06:00,25.1,,32.8,47.5,1650412800000,0.0,465.1,,,1001.7,,21.9,22.68,0.0,32.8,Partially cloudy,42.1,
140.67,58.1,73.5,9.9,24.2,2022-04-21T00:00:00-06:00,23.0,,20.0,43.9,1650499200000,0.0,398.7,,,1009.7,,31.6,38.63,0.0,32.5,Clear,42.5,
